observed_on,url,place_guess,latitude,longitude,common_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/9/2015,http://www.inaturalist.org/observations/1483330,"moose, wyoming",43.650425,-110.748305,American Beaver,,,"{species:""",American Beaver,""",place:""","moose, wyoming",""",lat:",43.650425,",",lon:,-110.748305,",","url:""",http://www.inaturalist.org/observations/1483330,""",observed:""",5/9/2015,"""},","{species:""",American Beaver,""",place:""","moose, wyoming",""",lat:",43.650425,",",lon:,-110.748305,",","url:""",http://www.inaturalist.org/observations/1483330,""",observed:""",42133,"""},"
8/1/2015,http://www.inaturalist.org/observations/1851053,"Fremont County, US-WY, US",43.43658,-109.53944,American Beaver,,,"{species:""",American Beaver,""",place:""","Fremont County, US-WY, US",""",lat:",43.43658,",",lon:,-109.53944,",","url:""",http://www.inaturalist.org/observations/1851053,""",observed:""",8/1/2015,"""},","{species:""",American Beaver,""",place:""","Fremont County, US-WY, US",""",lat:",43.43658,",",lon:,-109.53944,",","url:""",http://www.inaturalist.org/observations/1851053,""",observed:""",42217,"""},"
7/14/2015,http://www.inaturalist.org/observations/1879686,"Yellowstone National Park, WY",44.652826,-110.463549,American Beaver,,,"{species:""",American Beaver,""",place:""","Yellowstone National Park, WY",""",lat:",44.652826,",",lon:,-110.463549,",","url:""",http://www.inaturalist.org/observations/1879686,""",observed:""",7/14/2015,"""},","{species:""",American Beaver,""",place:""","Yellowstone National Park, WY",""",lat:",44.652826,",",lon:,-110.463549,",","url:""",http://www.inaturalist.org/observations/1879686,""",observed:""",42199,"""},"
5/23/2015,http://www.inaturalist.org/observations/2677766,"Yellowstone National Park, Yellowstone National Park, WY, US",44.91510523,-110.2567754,American Beaver,,,"{species:""",American Beaver,""",place:""","Yellowstone National Park, Yellowstone National Park, WY, US",""",lat:",44.91510523,",",lon:,-110.2567754,",","url:""",http://www.inaturalist.org/observations/2677766,""",observed:""",5/23/2015,"""},","{species:""",American Beaver,""",place:""","Yellowstone National Park, Yellowstone National Park, WY, US",""",lat:",44.9151052315,",",lon:,-110.25677537,",","url:""",http://www.inaturalist.org/observations/2677766,""",observed:""",42147,"""},"
8/19/2008,http://www.inaturalist.org/observations/3521122,"Johnson, Wyoming, United States",43.97494258,-106.1612247,American Beaver,,,"{species:""",American Beaver,""",place:""","Johnson, Wyoming, United States",""",lat:",43.97494258,",",lon:,-106.1612247,",","url:""",http://www.inaturalist.org/observations/3521122,""",observed:""",8/19/2008,"""},","{species:""",American Beaver,""",place:""","Johnson, Wyoming, United States",""",lat:",43.97494258,",",lon:,-106.16122467,",","url:""",http://www.inaturalist.org/observations/3521122,""",observed:""",39679,"""},"
9/26/2011,http://www.inaturalist.org/observations/3742012,Grand Teton NP,43.614951,-110.766392,American Beaver,,,"{species:""",American Beaver,""",place:""",Grand Teton NP,""",lat:",43.614951,",",lon:,-110.766392,",","url:""",http://www.inaturalist.org/observations/3742012,""",observed:""",9/26/2011,"""},","{species:""",American Beaver,""",place:""",Grand Teton NP,""",lat:",43.614951,",",lon:,-110.766392,",","url:""",http://www.inaturalist.org/observations/3742012,""",observed:""",40812,"""},"
6/24/2014,http://www.inaturalist.org/observations/3777362,"lamar valley, yellowstone np",44.86869,-110.16591,American Beaver,,,"{species:""",American Beaver,""",place:""","lamar valley, yellowstone np",""",lat:",44.86869,",",lon:,-110.16591,",","url:""",http://www.inaturalist.org/observations/3777362,""",observed:""",6/24/2014,"""},","{species:""",American Beaver,""",place:""","lamar valley, yellowstone np",""",lat:",44.86869,",",lon:,-110.16591,",","url:""",http://www.inaturalist.org/observations/3777362,""",observed:""",41814,"""},"
6/4/2016,http://www.inaturalist.org/observations/3887642,"20 U.S. 14, Lovell, WY 82431, USA",44.8374664,-108.3766829,American Beaver,,,"{species:""",American Beaver,""",place:""","20 U.S. 14, Lovell, WY 82431, USA",""",lat:",44.8374664,",",lon:,-108.3766829,",","url:""",http://www.inaturalist.org/observations/3887642,""",observed:""",6/4/2016,"""},","{species:""",American Beaver,""",place:""","20 U.S. 14, Lovell, WY 82431, USA",""",lat:",44.8374664,",",lon:,-108.3766829,",","url:""",http://www.inaturalist.org/observations/3887642,""",observed:""",42525,"""},"
7/3/2015,http://www.inaturalist.org/observations/4337109,"Coulter Bay, Grand Teton National Park, Teton, Wyoming, United States",43.885319,-110.637187,American Beaver,,,"{species:""",American Beaver,""",place:""","Coulter Bay, Grand Teton National Park, Teton, Wyoming, United States",""",lat:",43.885319,",",lon:,-110.637187,",","url:""",http://www.inaturalist.org/observations/4337109,""",observed:""",7/3/2015,"""},","{species:""",American Beaver,""",place:""","Coulter Bay, Grand Teton National Park, Teton, Wyoming, United States",""",lat:",43.885319,",",lon:,-110.637187,",","url:""",http://www.inaturalist.org/observations/4337109,""",observed:""",42188,"""},"
2/11/2017,https://www.inaturalist.org/observations/5098058,"82072, Laramie, WY, US",41.32367167,-105.607645,American Beaver,,,"{species:""",American Beaver,""",place:""","82072, Laramie, WY, US",""",lat:",41.32367167,",",lon:,-105.607645,",","url:""",https://www.inaturalist.org/observations/5098058,""",observed:""",2/11/2017,"""},","{species:""",American Beaver,""",place:""","82072, Laramie, WY, US",""",lat:",41.3236716667,",",lon:,-105.607645,",","url:""",https://www.inaturalist.org/observations/5098058,""",observed:""",42777,"""},"
11/10/2011,https://www.inaturalist.org/observations/5126513,"Teton County, WY, USA",43.88007762,-110.6309509,American Beaver,,,"{species:""",American Beaver,""",place:""","Teton County, WY, USA",""",lat:",43.88007762,",",lon:,-110.6309509,",","url:""",https://www.inaturalist.org/observations/5126513,""",observed:""",11/10/2011,"""},","{species:""",American Beaver,""",place:""","Teton County, WY, USA",""",lat:",43.880077622,",",lon:,-110.6309509277,",","url:""",https://www.inaturalist.org/observations/5126513,""",observed:""",40857,"""},"
1/4/2011,https://www.inaturalist.org/observations/5380208,"Teton County, WY, USA",44.3268626,-110.6378935,American Beaver,,,"{species:""",American Beaver,""",place:""","Teton County, WY, USA",""",lat:",44.3268626,",",lon:,-110.6378935,",","url:""",https://www.inaturalist.org/observations/5380208,""",observed:""",1/4/2011,"""},","{species:""",American Beaver,""",place:""","Teton County, WY, USA",""",lat:",44.3268626034,",",lon:,-110.6378934766,",","url:""",https://www.inaturalist.org/observations/5380208,""",observed:""",40547,"""},"
7/17/2012,https://www.inaturalist.org/observations/6201909,United States,44.46663849,-110.5182383,American Beaver,,,"{species:""",American Beaver,""",place:""",United States,""",lat:",44.46663849,",",lon:,-110.5182383,",","url:""",https://www.inaturalist.org/observations/6201909,""",observed:""",7/17/2012,"""},","{species:""",American Beaver,""",place:""",United States,""",lat:",44.4666384875,",",lon:,-110.5182382787,",","url:""",https://www.inaturalist.org/observations/6201909,""",observed:""",41107,"""},"
6/3/2007,https://www.inaturalist.org/observations/8944512,"Lamar Valley, Park County, WY, USA",44.91376311,-110.3236771,American Beaver,,,"{species:""",American Beaver,""",place:""","Lamar Valley, Park County, WY, USA",""",lat:",44.91376311,",",lon:,-110.3236771,",","url:""",https://www.inaturalist.org/observations/8944512,""",observed:""",6/3/2007,"""},","{species:""",American Beaver,""",place:""","Lamar Valley, Park County, WY, USA",""",lat:",44.9137631089,",",lon:,-110.323677063,",","url:""",https://www.inaturalist.org/observations/8944512,""",observed:""",39236,"""},"
