observed_on,latitude,longitude,common_name,,,,,,,,,,,,,,
5/8/2020,43.52827981,-109.5334488,North American River Otter,,,,{position: {,lat:,43.52827981,",lng:",-109.5334488,"},","species:""",North American River Otter,""", date:""",5/8/2020,"""},"
7/11/2020,44.88516564,-110.353164,North American River Otter,,,,{position: {,lat:,44.88516564,",lng:",-110.353164,"},","species:""",North American River Otter,""", date:""",7/11/2020,"""},"
9/28/2005,43.66976886,-110.6977069,North American River Otter,,,,{position: {,lat:,43.66976886,",lng:",-110.6977069,"},","species:""",North American River Otter,""", date:""",9/28/2005,"""},"
8/5/2009,43.91576959,-110.5679235,North American River Otter,,,,{position: {,lat:,43.91576959,",lng:",-110.5679235,"},","species:""",North American River Otter,""", date:""",8/5/2009,"""},"
9/13/2020,43.96702499,-110.5321838,North American River Otter,,,,{position: {,lat:,43.96702499,",lng:",-110.5321838,"},","species:""",North American River Otter,""", date:""",9/13/2020,"""},"
9/12/2020,44.35837963,-110.6396053,North American River Otter,,,,{position: {,lat:,44.35837963,",lng:",-110.6396053,"},","species:""",North American River Otter,""", date:""",9/12/2020,"""},"
9/17/2020,44.91057933,-110.3131237,North American River Otter,,,,{position: {,lat:,44.91057933,",lng:",-110.3131237,"},","species:""",North American River Otter,""", date:""",9/17/2020,"""},"
10/8/2020,43.85560888,-110.4025006,North American River Otter,,,,{position: {,lat:,43.85560888,",lng:",-110.4025006,"},","species:""",North American River Otter,""", date:""",10/8/2020,"""},"
12/22/2011,44.99365472,-110.1302977,North American River Otter,,,,{position: {,lat:,44.99365472,",lng:",-110.1302977,"},","species:""",North American River Otter,""", date:""",12/22/2011,"""},"
8/18/2010,44.55314955,-110.502763,North American River Otter,,,,{position: {,lat:,44.55314955,",lng:",-110.502763,"},","species:""",North American River Otter,""", date:""",8/18/2010,"""},"
10/6/2011,44.56496665,-110.4343198,North American River Otter,,,,{position: {,lat:,44.56496665,",lng:",-110.4343198,"},","species:""",North American River Otter,""", date:""",10/6/2011,"""},"
11/5/2019,43.20630796,-109.8662702,North American River Otter,,,,{position: {,lat:,43.20630796,",lng:",-109.8662702,"},","species:""",North American River Otter,""", date:""",11/5/2019,"""},"
1/9/2021,44.1963505,-110.6185014,North American River Otter,,,,{position: {,lat:,44.1963505,",lng:",-110.6185014,"},","species:""",North American River Otter,""", date:""",1/9/2021,"""},"
5/16/2021,44.1674719,-110.7852516,North American River Otter,,,,{position: {,lat:,44.1674719,",lng:",-110.7852516,"},","species:""",North American River Otter,""", date:""",5/16/2021,"""},"
6/11/2021,41.95935435,-109.9030204,North American River Otter,,,,{position: {,lat:,41.95935435,",lng:",-109.9030204,"},","species:""",North American River Otter,""", date:""",6/11/2021,"""},"
7/13/2012,44.51268315,-110.5667831,North American River Otter,,,,{position: {,lat:,44.51268315,",lng:",-110.5667831,"},","species:""",North American River Otter,""", date:""",7/13/2012,"""},"
8/3/2021,43.86809171,-110.523539,North American River Otter,,,,{position: {,lat:,43.86809171,",lng:",-110.523539,"},","species:""",North American River Otter,""", date:""",8/3/2021,"""},"
7/27/2021,43.83582057,-110.7219443,North American River Otter,,,,{position: {,lat:,43.83582057,",lng:",-110.7219443,"},","species:""",North American River Otter,""", date:""",7/27/2021,"""},"
9/11/2018,43.86608373,-110.5947753,North American River Otter,,,,{position: {,lat:,43.86608373,",lng:",-110.5947753,"},","species:""",North American River Otter,""", date:""",9/11/2018,"""},"
8/13/2021,43.91513091,-110.5685682,North American River Otter,,,,{position: {,lat:,43.91513091,",lng:",-110.5685682,"},","species:""",North American River Otter,""", date:""",8/13/2021,"""},"
12/29/2021,44.40235187,-110.9952763,North American River Otter,,,,{position: {,lat:,44.40235187,",lng:",-110.9952763,"},","species:""",North American River Otter,""", date:""",12/29/2021,"""},"
2/21/2022,44.9805674,-110.064677,North American River Otter,,,,{position: {,lat:,44.9805674,",lng:",-110.064677,"},","species:""",North American River Otter,""", date:""",2/21/2022,"""},"
2/15/2022,44.23633623,-110.7396694,North American River Otter,,,,{position: {,lat:,44.23633623,",lng:",-110.7396694,"},","species:""",North American River Otter,""", date:""",2/15/2022,"""},"
2/24/2022,44.71200959,-110.5996815,North American River Otter,,,,{position: {,lat:,44.71200959,",lng:",-110.5996815,"},","species:""",North American River Otter,""", date:""",2/24/2022,"""},"
